stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
6292,108531,Mossèn Andreu - Ribagorça,41.36459449,2.07947643,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108531
6297,3092,Escolapi Càncer - Metro Torre Baró/Vallbona,41.458839,2.180449,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=003092
6299,108676,Torre dels Lleons,41.38424219,2.09256157,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108676
6300,108677,Torre dels Lleons,41.38395623,2.09207319,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108677
6302,108653,Barcelona - Av. Isabel la Catòlica,41.36168563,2.10515986,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108653
6306,200123,Can Graner,41.4128412,2.02755477,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=200123
6315,200124,Sta. Creu d'Olorda - Josep Carner,41.41319545,2.02517166,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=200124
6319,109075,Prof. Barraquer - Hospital Sant Joan de Déu,41.3852779,2.09984776,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109075
6320,109076,Professor Barraquer - Díaz de las Fuentes,41.38517267,2.09838429,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109076
6321,109074,Dr. Ferran - Dr. Gimeno,41.38900412,2.08695199,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109074
6322,108048,Av. de Catalunya - Pl. Lloreda,41.4503184,2.23066883,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108048
6323,108701,Est - Ramon Llull,41.38675975,2.08851863,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108701
6325,109085,Av. 311 - Av. Diagonal,41.2773171,1.967475,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109085
6326,107293,Ctra. de la Vila - Vilamarina,41.3111992,2.02426608,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=107293
6328,109083,Dante Alighieri - Baixada Can Mateu,41.42878523,2.16098153,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109083
6330,109112,Can Tries - dels Joncs,41.35820852,2.11971948,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109112
6331,109103,Av. Carmen Amaya - Gornal,41.35333848,2.11696945,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109103
6333,3704,Amadeu Torner - Aprestadora,41.360494,2.123016,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=003704
6334,109111,Can Tries - Jerusalem,41.35825558,2.11989577,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109111
6338,109092,Lluquer - Cal Pi de l'Olla,41.31291674,2.13372463,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109092
6339,109093,Cal Malet - Ca l'Arana,41.31247871,2.13857955,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109093
6340,109094,Cal Nyepa - Cal Truco,41.31646375,2.13940541,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109094
6341,109095,Cal Pi de l'Olla - Cal Nyepa,41.31629139,2.13656077,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109095
6343,109097,Cal Coracero - Cal Fernando,41.31751378,2.13530342,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109097
6344,109098,Av. l'Estany de la Messeguera - Cal Pi de l'Olla,41.31909264,2.13982358,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109098
6345,109100,Cal Truco - Ca l'Arana,41.31342497,2.13606627,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109100
6346,109101,Cal Lluquer - Cal Pi de l'Olla,41.31467022,2.13174048,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109101
6347,109099,Cal Truco - Edifici Àrea PIF,41.31793349,2.14243334,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109099
6348,109107,Núria - Pirineus,41.44459217,2.21756408,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109107
6349,109106,Ctra. Sànson - Comissaria,41.39036651,2.04840981,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109106
6352,109109,Milà i Pi - Av. de Cornellà,41.37263733,2.0828748,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109109
6353,109108,Baronessa de Maldà - Milà i Pi,41.37338513,2.08046973,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109108
6376,1681,Pg. Colom - Port Vell,41.37594567,2.17828912,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=001681
6378,110365,Port Olímpic,41.38807066,2.19725604,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=110365
6381,1672,PLA DE PALAU - PARC DE LA CIUTADELLA,41.38279915,2.18319358,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=001672
6384,108643,Pg. Muntanya - Sant Josep,41.38760833,2.07417093,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108643
6391,109065,Ctra. de Montcada - Can Toi,41.48354161,2.21545697,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109065
6392,109067,Ctra. de Montcada - Masia Can Rata,41.47930688,2.20097722,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109067
6394,109069,Ctra. de Montcada - Masia Conchita,41.48196708,2.20833313,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109069
6395,109070,Ctra. de Montcada - Canilandia,41.48264543,2.21044122,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109070
6396,109066,Ctra. de Montcada - Can Devesa,41.4834343,2.21577876,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109066
6401,2965,Av. Granvia - Natzaret,41.35977881,2.12844427,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=002965
6403,103884,Rda. St. Antoni de Llefià - Pérez Galdós,41.43980128,2.21554133,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=103884
6404,200125,Alzina - Pere Quart,41.41363283,2.02335429,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=200125
6405,109118,Perú - Verdi,41.45453132,2.21575646,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109118
